America/Bahia,Brasilia Time,-3:00
America/Bahia_Banderas,Central Standard Time,-6:00
America/Barbados,Atlantic Standard Time,-4:00
America/Belem,Brasilia Time,-3:00
America/Belize,Central Standard Time,-6:00
America/Blanc-Sablon,Atlantic Standard Time,-4:00
America/Boa_Vista,Amazon Time,-4:00
America/Bogota,Colombia Time,-5:00
America/Boise,Mountain Standard Time,-7:00
America/Buenos_Aires,Argentine Time,-3:00
America/Cambridge_Bay,Mountain Standard Time,-7:00
America/Campo_Grande,Amazon Summer Time,-3:00
America/Campo_Grande,Amazon Time,-4:00
America/Cancun,Eastern Standard Time,-5:00
America/Caracas,Venezuela Time,-4:00
America/Catamarca,Argentine Time,-3:00
America/Cayenne,French Guiana Time,-3:00
America/Cayman,Eastern Standard Time,-5:00
America/Chicago,Central Standard Time,-6:00
America/Chihuahua,Mountain Standard Time,-7:00
America/Coral_Harbour,Eastern Standard Time,-5:00
America/Cordoba,Argentine Time,-3:00
America/Costa_Rica,Central Standard Time,-6:00
America/Creston,Mountain Standard Time,-7:00
America/Cuiaba,Amazon Summer Time,-3:00
America/Cuiaba,Amazon Time,-4:00
America/Curacao,Atlantic Standard Time,-4:00
America/Danmarkshavn,Greenwich Mean Time,+0:00
America/Dawson,Pacific Standard Time,-8:00
America/Dawson_Creek,Mountain Standard Time,-7:00
America/Denver,Mountain Standard Time,-7:00
America/Detroit,Eastern Standard Time,-5:00
America/Dominica,Atlantic Standard Time,-4:00
America/Edmonton,Mountain Standard Time,-7:00
America/Eirunepe,Acre Time,-5:00
America/El_Salvador,Central Standard Time,-6:00
America/Ensenada,Pacific Standard Time,-8:00
America/Fort_Nelson,Mountain Standard Time,-7:00
America/Fort_Wayne,Eastern Standard Time,-5:00
America/Fortaleza,Brasilia Time,-3:00
America/Glace_Bay,Atlantic Standard Time,-4:00
America/Godthab,Western Greenland Time,-3:00
America/Goose_Bay,Atlantic Standard Time,-4:00
America/Grand_Turk,Atlantic Standard Time,-4:00
America/Grenada,Atlantic Standard Time,-4:00
America/Guadeloupe,Atlantic Standard Time,-4:00
America/Guatemala,Central Standard Time,-6:00
America/Guayaquil,Ecuador Time,-5:00
America/Guyana,Guyana Time,-4:00
America/Halifax,Atlantic Standard Time,-4:00
America/Havana,Cuba Standard Time,-5:00
America/Hermosillo,Mountain Standard Time,-7:00
America/Indiana/Indianapolis,Eastern Standard Time,-5:00
America/Indiana/Knox,Central Standard Time,-6:00
America/Indiana/Marengo,Eastern Standard Time,-5:00
America/Indiana/Petersburg,Eastern Standard Time,-5:00
America/Indiana/Tell_City,Central Standard Time,-6:00
America/Indiana/Vevay,Eastern Standard Time,-5:00
America/Indiana/Vincennes,Eastern Standard Time,-5:00
America/Indiana/Winamac,Eastern Standard Time,-5:00
America/Indianapolis,Eastern Standard Time,-5:00
America/Inuvik,Mountain Standard Time,-7:00
America/Iqaluit,Eastern Standard Time,-5:00
America/Jamaica,Eastern Standard Time,-5:00
America/Jujuy,Argentine Time,-3:00
America/Juneau,Alaska Standard Time,-9:00
America/Kentucky/Louisville,Eastern Standard Time,-5:00
America/Kentucky/Monticello,Eastern Standard Time,-5:00
America/Knox_IN,Central Standard Time,-6:00
America/Kralendijk,Atlantic Standard Time,-4:00
America/La_Paz,Bolivia Time,-4:00
America/Lima,Peru Time,-5:00
America/Los_Angeles,Pacific Standard Time,-8:00
America/Louisville,Eastern Standard Time,-5:00
America/Lower_Princes,Atlantic Standard Time,-4:00
America/Maceio,Brasilia Time,-3:00
America/Managua,Central Standard Time,-6:00
America/Manaus,Amazon Time,-4:00
America/Marigot,Atlantic Standard Time,-4:00
America/Martinique,Atlantic Standard Time,-4:00
America/Matamoros,Central Standard Time,-6:00
America/Mazatlan,Mountain Standard Time,-7:00
America/Mendoza,Argentine Time,-3:00
America/Menominee,Central Standard Time,-6:00
America/Merida,Central Standard Time,-6:00
America/Metlakatla,Alaska Standard Time,-9:00
America/Mexico_City,Central Standard Time,-6:00
America/Miquelon,Pierre & Miquelon Standard Time,-3:00
America/Moncton,Atlantic Standard Time,-4:00
America/Monterrey,Central Standard Time,-6:00
America/Montevideo,Uruguay Time,-3:00
America/Montreal,Eastern Standard Time,-5:00
America/Montserrat,Atlantic Standard Time,-4:00
America/Nassau,Eastern Standard Time,-5:00
America/New_York,Eastern Standard Time,-5:00
America/Nipigon,Eastern Standard Time,-5:00
America/Nome,Alaska Standard Time,-9:00
America/Noronha,Fernando de Noronha Time,-2:00
America/North_Dakota/Beulah,Central Standard Time,-6:00
America/North_Dakota/Center,Central Standard Time,-6:00
America/North_Dakota/New_Salem,Central Standard Time,-6:00
America/Ojinaga,Mountain Standard Time,-7:00
America/Panama,Eastern Standard Time,-5:00
America/Pangnirtung,Eastern Standard Time,-5:00
America/Paramaribo,Suriname Time,-3:00
America/Phoenix,Mountain Standard Time,-7:00
America/Port-au-Prince,Eastern Standard Time,-5:00
America/Port_of_Spain,Atlantic Standard Time,-4:00
America/Porto_Acre,Acre Time,-5:00
America/Porto_Velho,Amazon Time,-4:00
America/Puerto_Rico,Atlantic Standard Time,-4:00
America/Rainy_River,Central Standard Time,-6:00
America/Rankin_Inlet,Central Standard Time,-6:00
America/Recife,Brasilia Time,-3:00
America/Regina,Central Standard Time,-6:00
America/Resolute,Central Standard Time,-6:00
America/Rio_Branco,Acre Time,-5:00
America/Rosario,Argentine Time,-3:00
America/Santa_Isabel,Pacific Standard Time,-8:00
America/Santarem,Brasilia Time,-3:00
America/Santiago,Chile Summer Time,-3:00
America/Santiago,Chile Time,-4:00
America/Santo_Domingo,Atlantic Standard Time,-4:00
America/Sao_Paulo,Brasilia Summer Time,-2:00
America/Sao_Paulo,Brasilia Time,-3:00
America/Scoresbysund,Eastern Greenland Time,-1:00
America/Shiprock,Mountain Standard Time,-7:00
America/Sitka,Alaska Standard Time,-9:00
America/St_Barthelemy,Atlantic Standard Time,-4:00
America/St_Johns,Newfoundland Standard Time,-3:30
America/St_Kitts,Atlantic Standard Time,-4:00
America/St_Lucia,Atlantic Standard Time,-4:00
America/St_Thomas,Atlantic Standard Time,-4:00
America/St_Vincent,Atlantic Standard Time,-4:00
America/Swift_Current,Central Standard Time,-6:00
America/Tegucigalpa,Central Standard Time,-6:00
America/Thule,Atlantic Standard Time,-4:00
America/Thunder_Bay,Eastern Standard Time,-5:00
America/Tijuana,Pacific Standard Time,-8:00
America/Toronto,Eastern Standard Time,-5:00
America/Tortola,Atlantic Standard Time,-4:00
America/Vancouver,Pacific Standard Time,-8:00
America/Virgin,Atlantic Standard Time,-4:00
America/Whitehorse,Pacific Standard Time,-8:00
America/Winnipeg,Central Standard Time,-6:00
America/Yakutat,Alaska Standard Time,-9:00
America/Yellowknife,Mountain Standard Time,-7:00
Antarctica/Casey,Australian Western Standard Time,+11:00
Antarctica/Davis,Davis Time,+7:00
Antarctica/DumontDUrville,Dumont-d'Urville Time,+10:00
Antarctica/Macquarie,Macquarie Island Standard Time,+11:00
Antarctica/Mawson,Mawson Time,+5:00
Antarctica/McMurdo,New Zealand Daylight Time,+13:00
Antarctica/McMurdo,New Zealand Standard Time,+12:00
Antarctica/Palmer,Chile Summer Time,-3:00
Antarctica/Palmer,Chile Time,-4:00
Antarctica/Rothera,Rothera Time,-3:00
Antarctica/South_Pole,New Zealand Daylight Time,+13:00
Antarctica/South_Pole,New Zealand Standard Time,+12:00
Antarctica/Syowa,Syowa Time,+3:00
Antarctica/Troll,Coordinated Universal Time,+0:00
Antarctica/Vostok,Vostok Time,+6:00
Arctic/Longyearbyen,Central European Time,+1:00
Asia/Aden,Arabia Standard Time,+3:00
Asia/Almaty,Alma-Ata Time,+6:00
Asia/Amman,Eastern European Time,+2:00
Asia/Anadyr,Anadyr Time,+12:00
Asia/Aqtau,Aqtau Time,+5:00
Asia/Aqtobe,Aqtobe Time,+5:00
Asia/Ashgabat,Turkmenistan Time,+5:00
Asia/Ashkhabad,Turkmenistan Time,+5:00
Asia/Baghdad,Arabia Standard Time,+3:00
Asia/Bahrain,Arabia Standard Time,+3:00
Asia/Baku,Azerbaijan Time,+4:00
Asia/Bangkok,Indochina Time,+7:00
Asia/Barnaul,GMT+07:00,+7:00
Asia/Beirut,Eastern European Time,+2:00
Asia/Bishkek,Kirgizstan Time,+6:00
Asia/Brunei,Brunei Time,+8:00
Asia/Calcutta,India Standard Time,+5:30
Asia/Chita,Yakutsk Time,+9:00
Asia/Choibalsan,Choibalsan Time,+8:00
Asia/Chongqing,China Standard Time,+8:00
Asia/Chungking,China Standard Time,+8:00
Asia/Colombo,India Standard Time,+5:30
Asia/Dacca,Bangladesh Time,+6:00
Asia/Damascus,Eastern European Time,+2:00
Asia/Dhaka,Bangladesh Time,+6:00
Asia/Dili,Timor-Leste Time,+9:00
Asia/Dubai,Gulf Standard Time,+4:00
Asia/Dushanbe,Tajikistan Time,+5:00
Asia/Famagusta,GMT+03:00,+3:00
Asia/Gaza,Eastern European Time,+2:00
Asia/Harbin,China Standard Time,+8:00
Asia/Hebron,Eastern European Time,+2:00
Asia/Ho_Chi_Minh,Indochina Time,+7:00
Asia/Hong_Kong,Hong Kong Time,+8:00
Asia/Hovd,Hovd Time,+7:00
Asia/Irkutsk,Irkutsk Time,+8:00
Asia/Istanbul,Eastern European Time,+3:00
Asia/Jakarta,West Indonesia Time,+7:00
Asia/Jayapura,East Indonesia Time,+9:00
Asia/Jerusalem,Israel Standard Time,+2:00
Asia/Kabul,Afghanistan Time,+4:30
Asia/Kamchatka,Petropavlovsk-Kamchatski Time,+12:00
Asia/Karachi,Pakistan Time,+5:00
Asia/Kashgar,Xinjiang Standard Time,+6:00
Asia/Kathmandu,Nepal Time,+5:45
Asia/Katmandu,Nepal Time,+5:45
Asia/Khandyga,Yakutsk Time,+9:00
Asia/Kolkata,India Standard Time,+5:30
Asia/Krasnoyarsk,Krasnoyarsk Time,+7:00
Asia/Kuala_Lumpur,Malaysia Time,+8:00
Asia/Kuching,Malaysia Time,+8:00
Asia/Kuwait,Arabia Standard Time,+3:00
Asia/Macao,China Standard Time,+8:00
Asia/Macau,China Standard Time,+8:00
Asia/Magadan,Magadan Time,+11:00
Asia/Makassar,Central Indonesia Time,+8:00
Asia/Manila,Philippines Time,+8:00
Asia/Muscat,Gulf Standard Time,+4:00
Asia/Nicosia,Eastern European Time,+2:00
Asia/Novokuznetsk,Krasnoyarsk Time,+7:00
Asia/Novosibirsk,Novosibirsk Time,+7:00
Asia/Omsk,Omsk Time,+6:00
Asia/Oral,Oral Time,+5:00
Asia/Phnom_Penh,Indochina Time,+7:00
Asia/Pontianak,West Indonesia Time,+7:00
Asia/Pyongyang,Korea Standard Time,+8:30
Asia/Qatar,Arabia Standard Time,+3:00
Asia/Qyzylorda,Qyzylorda Time,+6:00
Asia/Rangoon,Myanmar Time,+6:30
Asia/Riyadh,Arabia Standard Time,+3:00
Asia/Saigon,Indochina Time,+7:00
Asia/Sakhalin,Sakhalin Time,+11:00
Asia/Samarkand,Uzbekistan Time,+5:00
Asia/Seoul,Korea Standard Time,+9:00
Asia/Shanghai,China Standard Time,+8:00
Asia/Singapore,Singapore Time,+8:00
Asia/Srednekolymsk,Srednekolymsk Time,+11:00
Asia/Taipei,China Standard Time,+8:00
Asia/Tashkent,Uzbekistan Time,+5:00
Asia/Tbilisi,Georgia Time,+4:00
Asia/Tehran,Iran Standard Time,+3:30
Asia/Tel_Aviv,Israel Standard Time,+2:00
Asia/Thimbu,Bhutan Time,+6:00
Asia/Thimphu,Bhutan Time,+6:00
Asia/Tokyo,Japan Standard Time,+9:00
Asia/Tomsk,GMT+07:00,+7:00
Asia/Ujung_Pandang,Central Indonesia Time,+8:00
Asia/Ulaanbaatar,Ulaanbaatar Time,+8:00
Asia/Ulan_Bator,Ulaanbaatar Time,+8:00
Asia/Urumqi,Xinjiang Standard Time,+6:00
Asia/Ust-Nera,Ust-Nera Time,+10:00
Asia/Vientiane,Indochina Time,+7:00
Asia/Vladivostok,Vladivostok Time,+10:00
Asia/Yakutsk,Yakutsk Time,+9:00
Asia/Yangon,Myanmar Time,+6:30
Asia/Yekaterinburg,Yekaterinburg Time,+5:00
Asia/Yerevan,Armenia Time,+4:00
Atlantic/Azores,Azores Time,-1:00
Atlantic/Bermuda,Atlantic Standard Time,-4:00
Atlantic/Canary,Western European Time,+0:00
Atlantic/Cape_Verde,Cape Verde Time,-1:00
Atlantic/Faeroe,Western European Time,+0:00
Atlantic/Faroe,Western European Time,+0:00
Atlantic/Jan_Mayen,Central European Time,+1:00
Atlantic/Madeira,Western European Time,+0:00
Atlantic/Reykjavik,Greenwich Mean Time,+0:00
Atlantic/South_Georgia,South Georgia Standard Time,-2:00
Atlantic/St_Helena,Greenwich Mean Time,+0:00
Atlantic/Stanley,Falkland Is. Time,-3:00
Australia/ACT,Australian Eastern Daylight Time (New South Wales),+11:00
Australia/ACT,Australian Eastern Standard Time (New South Wales),+10:00
Australia/Adelaide,Australian Central Daylight Time (South Australia),+10:30
Australia/Adelaide,Australian Central Standard Time (South Australia),+9:30
Australia/Brisbane,Australian Eastern Standard Time (Queensland),+10:00
Australia/Broken_Hill,Australian Central Daylight Time (South Australia/New South Wales),+10:30
Australia/Broken_Hill,Australian Central Standard Time (South Australia/New South Wales),+9:30
Australia/Canberra,Australian Eastern Daylight Time (New South Wales),+11:00
Australia/Canberra,Australian Eastern Standard Time (New South Wales),+10:00
Australia/Currie,Australian Eastern Daylight Time (New South Wales),+11:00
Australia/Currie,Australian Eastern Standard Time (New South Wales),+10:00
Australia/Darwin,Australian Central Standard Time (Northern Territory),+9:30
Australia/Eucla,Australian Central Western Standard Time,+8:45
Australia/Hobart,Australian Eastern Daylight Time (Tasmania),+11:00
Australia/Hobart,Australian Eastern Standard Time (Tasmania),+10:00
Australia/LHI,Lord Howe Daylight Time,+11:00
Australia/LHI,Lord Howe Standard Time,+10:30
Australia/Lindeman,Australian Eastern Standard Time (Queensland),+10:00
Australia/Lord_Howe,Lord Howe Daylight Time,+11:00
Australia/Lord_Howe,Lord Howe Standard Time,+10:30
Australia/Melbourne,Australian Eastern Daylight Time (Victoria),+11:00
Australia/Melbourne,Australian Eastern Standard Time (Victoria),+10:00
Australia/NSW,Australian Eastern Daylight Time (New South Wales),+11:00
Australia/NSW,Australian Eastern Standard Time (New South Wales),+10:00
Australia/North,Australian Central Standard Time (Northern Territory),+9:30
Australia/Perth,Australian Western Standard Time,+8:00
Australia/Queensland,Australian Eastern Standard Time (Queensland),+10:00
Australia/South,Australian Central Daylight Time (South Australia),+10:30
Australia/South,Australian Central Standard Time (South Australia),+9:30
Australia/Sydney,Australian Eastern Daylight Time (New South Wales),+11:00
Australia/Sydney,Australian Eastern Standard Time (New South Wales),+10:00
Australia/Tasmania,Australian Eastern Daylight Time (Tasmania),+11:00
Australia/Tasmania,Australian Eastern Standard Time (Tasmania),+10:00
Australia/Victoria,Australian Eastern Daylight Time (Victoria),+11:00
Australia/Victoria,Australian Eastern Standard Time (Victoria),+10:00
Australia/West,Australian Western Standard Time,+8:00
Australia/Yancowinna,Australian Central Daylight Time (South Australia/New South Wales),+10:30
Australia/Yancowinna,Australian Central Standard Time (South Australia/New South Wales),+9:30
BET,Brasilia Summer Time,-2:00
BET,Brasilia Time,-3:00
BST,Bangladesh Time,+6:00
Brazil/Acre,Acre Time,-5:00
Brazil/DeNoronha,Fernando de Noronha Time,-2:00
Brazil/East,Brasilia Summer Time,-2:00
Brazil/East,Brasilia Time,-3:00
Brazil/West,Amazon Time,-4:00
CAT,Central African Time,+2:00
CET,Central European Time,+1:00
CNT,Newfoundland Standard Time,-3:30
CST,Central Standard Time,-6:00
CST6CDT,Central Standard Time,-6:00
CTT,China Standard Time,+8:00
Canada/Atlantic,Atlantic Standard Time,-4:00
Canada/Central,Central Standard Time,-6:00
Canada/East-Saskatchewan,Central Standard Time,-6:00
Canada/Eastern,Eastern Standard Time,-5:00
Canada/Mountain,Mountain Standard Time,-7:00
Canada/Newfoundland,Newfoundland Standard Time,-3:30
Canada/Pacific,Pacific Standard Time,-8:00
Canada/Saskatchewan,Central Standard Time,-6:00
Canada/Yukon,Pacific Standard Time,-8:00
Chile/Continental,Chile Summer Time,-3:00
Chile/Continental,Chile Time,-4:00
Chile/EasterIsland,Easter Is. Summer Time,-5:00
Chile/EasterIsland,Easter Is. Time,-6:00
Cuba,Cuba Standard Time,-5:00
EAT,Eastern African Time,+3:00
ECT,Central European Time,+1:00
EET,Eastern European Time,+2:00
EST,Eastern Standard Time,-5:00
EST5EDT,Eastern Standard Time,-5:00
Egypt,Eastern European Time,+2:00
Eire,Greenwich Mean Time,+0:00
Etc/GMT+0,Greenwich Mean Time,+0:00
Etc/GMT+1,GMT-01:00,-1:00
Etc/GMT+10,GMT-10:00,-10:00
Etc/GMT+11,GMT-11:00,-11:00
Etc/GMT+12,GMT-12:00,-12:00
Etc/GMT+2,GMT-02:00,-2:00
Etc/GMT+3,GMT-03:00,-3:00
Etc/GMT+4,GMT-04:00,-4:00
Etc/GMT+5,GMT-05:00,-5:00
Etc/GMT+6,GMT-06:00,-6:00
Etc/GMT+7,GMT-07:00,-7:00
Etc/GMT+8,GMT-08:00,-8:00
Etc/GMT+9,GMT-09:00,-9:00
Etc/GMT,Greenwich Mean Time,+0:00
Etc/GMT-0,Greenwich Mean Time,+0:00
Etc/GMT-1,GMT+01:00,+1:00
Etc/GMT-10,GMT+10:00,+10:00
Etc/GMT-11,GMT+11:00,+11:00
Etc/GMT-12,GMT+12:00,+12:00
Etc/GMT-13,GMT+13:00,+13:00
Etc/GMT-14,GMT+14:00,+14:00
Etc/GMT-2,GMT+02:00,+2:00
Etc/GMT-3,GMT+03:00,+3:00
Etc/GMT-4,GMT+04:00,+4:00
Etc/GMT-5,GMT+05:00,+5:00
Etc/GMT-6,GMT+06:00,+6:00
Etc/GMT-7,GMT+07:00,+7:00
Etc/GMT-8,GMT+08:00,+8:00
Etc/GMT-9,GMT+09:00,+9:00
Etc/GMT0,Greenwich Mean Time,+0:00
Etc/Greenwich,Greenwich Mean Time,+0:00
Etc/UCT,Coordinated Universal Time,+0:00
Etc/UTC,Coordinated Universal Time,+0:00
Etc/Universal,Coordinated Universal Time,+0:00
Etc/Zulu,Coordinated Universal Time,+0:00
Europe/Amsterdam,Central European Time,+1:00
Europe/Andorra,Central European Time,+1:00
Europe/Astrakhan,GMT+04:00,+4:00
Europe/Athens,Eastern European Time,+2:00
Europe/Belfast,Greenwich Mean Time,+0:00
Europe/Belgrade,Central European Time,+1:00
Europe/Berlin,Central European Time,+1:00
Europe/Bratislava,Central European Time,+1:00
Europe/Brussels,Central European Time,+1:00
Europe/Bucharest,Eastern European Time,+2:00
Europe/Budapest,Central European Time,+1:00
Europe/Busingen,Central European Time,+1:00
Europe/Chisinau,Eastern European Time,+2:00
Europe/Copenhagen,Central European Time,+1:00
Europe/Dublin,Greenwich Mean Time,+0:00
Europe/Gibraltar,Central European Time,+1:00
Europe/Guernsey,Greenwich Mean Time,+0:00
Europe/Helsinki,Eastern European Time,+2:00
Europe/Isle_of_Man,Greenwich Mean Time,+0:00
Europe/Istanbul,Eastern European Time,+3:00
Europe/Jersey,Greenwich Mean Time,+0:00
Europe/Kaliningrad,Eastern European Time,+2:00
Europe/Kiev,Eastern European Time,+2:00
Europe/Kirov,GMT+03:00,+3:00
Europe/Lisbon,Western European Time,+0:00
Europe/Ljubljana,Central European Time,+1:00
Europe/London,Greenwich Mean Time,+0:00
Europe/Luxembourg,Central European Time,+1:00
Europe/Madrid,Central European Time,+1:00
Europe/Malta,Central European Time,+1:00
Europe/Mariehamn,Eastern European Time,+2:00
Europe/Minsk,Moscow Standard Time,+3:00
Europe/Monaco,Central European Time,+1:00
Europe/Moscow,Moscow Standard Time,+3:00
Europe/Nicosia,Eastern European Time,+2:00
Europe/Oslo,Central European Time,+1:00
Europe/Paris,Central European Time,+1:00
Europe/Podgorica,Central European Time,+1:00
Europe/Prague,Central European Time,+1:00
Europe/Riga,Eastern European Time,+2:00
Europe/Rome,Central European Time,+1:00
Europe/Samara,Samara Time,+4:00
Europe/San_Marino,Central European Time,+1:00
Europe/Sarajevo,Central European Time,+1:00
Europe/Simferopol,Moscow Standard Time,+3:00
Europe/Skopje,Central European Time,+1:00
Europe/Sofia,Eastern European Time,+2:00
Europe/Stockholm,Central European Time,+1:00
Europe/Tallinn,Eastern European Time,+2:00
Europe/Tirane,Central European Time,+1:00
Europe/Tiraspol,Eastern European Time,+2:00
Europe/Ulyanovsk,GMT+04:00,+4:00
Europe/Uzhgorod,Eastern European Time,+2:00
Europe/Vaduz,Central European Time,+1:00
Europe/Vatican,Central European Time,+1:00
Europe/Vienna,Central European Time,+1:00
Europe/Vilnius,Eastern European Time,+2:00
Europe/Volgograd,Moscow Standard Time,+3:00
Europe/Warsaw,Central European Time,+1:00
Europe/Zagreb,Central European Time,+1:00
Europe/Zaporozhye,Eastern European Time,+2:00
Europe/Zurich,Central European Time,+1:00
GB,Greenwich Mean Time,+0:00
GB-Eire,Greenwich Mean Time,+0:00
GMT,Greenwich Mean Time,+0:00
GMT0,Greenwich Mean Time,+0:00
Greenwich,Greenwich Mean Time,+0:00
HST,Hawaii Standard Time,-10:00
Hongkong,Hong Kong Time,+8:00
IET,Eastern Standard Time,-5:00
IST,India Standard Time,+5:30
Iceland,Greenwich Mean Time,+0:00
Indian/Antananarivo,Eastern African Time,+3:00
Indian/Chagos,Indian Ocean Territory Time,+6:00
Indian/Christmas,Christmas Island Time,+7:00
Indian/Cocos,Cocos Islands Time,+6:30
Indian/Comoro,Eastern African Time,+3:00
Indian/Kerguelen,French Southern & Antarctic Lands Time,+5:00
Indian/Mahe,Seychelles Time,+4:00
Indian/Maldives,Maldives Time,+5:00
Indian/Mauritius,Mauritius Time,+4:00
Indian/Mayotte,Eastern African Time,+3:00
Indian/Reunion,Reunion Time,+4:00
Iran,Iran Standard Time,+3:30
Israel,Israel Standard Time,+2:00
JST,Japan Standard Time,+9:00
Jamaica,Eastern Standard Time,-5:00
Japan,Japan Standard Time,+9:00
Kwajalein,Marshall Islands Time,+12:00
Libya,Eastern European Time,+2:00
MET,Middle Europe Time,+1:00
MIT,West Samoa Daylight Time,+14:00
MIT,West Samoa Standard Time,+13:00
MST,Mountain Standard Time,-7:00
MST7MDT,Mountain Standard Time,-7:00
Mexico/BajaNorte,Pacific Standard Time,-8:00
Mexico/BajaSur,Mountain Standard Time,-7:00
Mexico/General,Central Standard Time,-6:00
NET,Armenia Time,+4:00
NST,New Zealand Daylight Time,+13:00
NST,New Zealand Standard Time,+12:00
NZ,New Zealand Daylight Time,+13:00
NZ,New Zealand Standard Time,+12:00
NZ-CHAT,Chatham Daylight Time,+13:45
NZ-CHAT,Chatham Standard Time,+12:45
Navajo,Mountain Standard Time,-7:00
PLT,Pakistan Time,+5:00
PNT,Mountain Standard Time,-7:00
PRC,China Standard Time,+8:00
PRT,Atlantic Standard Time,-4:00
PST,Pacific Standard Time,-8:00
PST8PDT,Pacific Standard Time,-8:00
Pacific/Apia,West Samoa Daylight Time,+14:00
Pacific/Apia,West Samoa Standard Time,+13:00
Pacific/Auckland,New Zealand Daylight Time,+13:00
Pacific/Auckland,New Zealand Standard Time,+12:00
Pacific/Bougainville,Bougainville Standard Time,+11:00
Pacific/Chatham,Chatham Daylight Time,+13:45
Pacific/Chatham,Chatham Standard Time,+12:45
Pacific/Chuuk,Chuuk Time,+10:00
Pacific/Easter,Easter Is. Summer Time,-5:00
Pacific/Easter,Easter Is. Time,-6:00
Pacific/Efate,Vanuatu Time,+11:00
Pacific/Enderbury,Phoenix Is. Time,+13:00
Pacific/Fakaofo,Tokelau Time,+13:00
Pacific/Fiji,Fiji Time,+12:00
Pacific/Funafuti,Tuvalu Time,+12:00
Pacific/Galapagos,Galapagos Time,-6:00
Pacific/Gambier,Gambier Time,-9:00
